ttime,pm1,pm2,pm3,sm,lum,temp,humd,pres
18-07-2022 15:39,0.83,0,0,7463,8379.8,23.02,90.57,92849.25
18-07-2022 15:44,1.39,0,0,7576,8379.8,23.47,88.37,92848.31
18-07-2022 15:49,1.95,0,0,7576,8379.8,23.64,85.26,92844.82
18-07-2022 15:54,2.51,0,0,7463,8379.8,23.62,85.93,92834.94
18-07-2022 15:59,0.55,2.51,2.51,7463,8379.8,23.82,86.06,92815.25
18-07-2022 16:04,1.11,2.51,2.51,7463,8920.666667,24.27,82.98,92820.05
18-07-2022 16:09,1.67,2.51,2.51,7463,8920.666667,24.51,81.52,92806.69
18-07-2022 16:14,2.23,2.51,2.51,7353,8920.666667,24.53,80.96,92799.3
18-07-2022 16:19,2.79,2.51,2.51,7463,8920.666667,24.46,81.03,92812.62
18-07-2022 16:24,3.35,2.51,2.51,7463,8920.666667,24.28,81.64,92800.14
18-07-2022 16:29,3.91,2.51,2.51,7463,8920.666667,24.09,82.12,92806.87
18-07-2022 16:34,4.47,2.51,2.51,7463,8920.666667,23.88,83.13,92811.51
18-07-2022 16:39,5.02,2.51,2.51,7463,8920.666667,24.14,82.44,92815.61
18-07-2022 16:44,5.58,2.51,2.51,7353,8920.666667,24.06,82.05,92818.47
18-07-2022 16:49,6.14,2.51,2.51,7576,8920.666667,23.82,83,92825.56
18-07-2022 16:54,6.7,2.51,2.51,7463,8920.666667,23.9,82.83,92821.4
18-07-2022 16:59,0.55,6.7,9.22,7463,8920.666667,23.76,82.78,92823.04
18-07-2022 17:04,1.11,6.7,9.22,7576,4471.75,23.45,84.56,92812.31
18-07-2022 17:09,1.67,6.7,9.22,7463,4471.75,23.13,85.67,92809.82
18-07-2022 17:14,2.23,6.7,9.22,7353,4471.75,23.01,87.55,92809.42
18-07-2022 17:19,2.79,6.7,9.22,7353,4471.75,22.94,87.97,92812.91
18-07-2022 17:24,3.35,6.7,9.22,7353,4471.75,22.95,88.78,92822.65
18-07-2022 17:29,3.91,6.7,9.22,7353,4471.75,22.81,87.88,92824.96
18-07-2022 17:34,4.47,6.7,9.22,7463,4471.75,22.76,87.83,92834.18
18-07-2022 17:39,5.02,6.7,9.22,7463,4471.75,22.67,87.95,92840.3
18-07-2022 17:44,5.58,6.7,9.22,7463,4471.75,22.55,88.32,92852.47
18-07-2022 17:49,6.14,6.7,9.22,7463,4471.75,22.57,87.82,92851.91
18-07-2022 17:54,6.7,6.7,9.22,7463,4471.75,22.54,87.83,92852.3
