ttime,pm1,pm2,pm3,am,sm,st,lum
18-07-2022 15:42,3.63,0,0,3.2,7813,25.65,15001
18-07-2022 15:47,4.19,0,0,4.8,7692,25.66,13863
18-07-2022 15:52,4.74,0,0,4,7813,25.67,13788
18-07-2022 15:57,5.3,0,0,4.8,7813,25.68,14383
18-07-2022 16:02,0.55,5.3,5.3,3.2,7813,25.69,14621
18-07-2022 16:07,1.11,5.3,5.3,4,7813,25.71,13782
18-07-2022 16:13,1.67,5.3,5.3,1.6,7813,25.72,12681
18-07-2022 16:17,2.23,5.3,5.3,6.4,7813,25.73,12226
18-07-2022 16:22,2.79,5.3,5.3,1.6,7813,25.74,10509
18-07-2022 16:27,3.35,5.3,5.3,3.2,7692,25.75,10041
18-07-2022 16:32,3.91,5.3,5.3,5.6,7692,25.76,8021
18-07-2022 16:37,4.47,5.3,5.3,4,7813,25.78,10340
18-07-2022 16:42,5.02,5.3,5.3,5.6,7692,25.79,9100
18-07-2022 16:47,5.58,5.3,5.3,2.4,7813,25.8,6426
18-07-2022 16:52,6.14,5.3,5.3,4,7692,25.8,9123
18-07-2022 16:57,6.7,5.3,5.3,1.6,7813,25.81,6325
18-07-2022 17:02,0.55,6.7,12.01,1.6,7813,25.83,4664
18-07-2022 17:07,1.11,6.7,12.01,4.8,7813,25.84,6575
18-07-2022 17:12,1.67,6.7,12.01,2.4,7692,25.85,4317
18-07-2022 17:17,2.23,6.7,12.01,3.2,7813,25.86,4846
18-07-2022 17:22,2.79,6.7,12.01,2.4,7692,25.86,6055
18-07-2022 17:27,3.35,6.7,12.01,2.4,7813,25.87,4671
18-07-2022 17:32,3.91,6.7,12.01,1.6,7813,25.88,3359
18-07-2022 17:37,4.47,6.7,12.01,5.6,7813,25.89,2293
18-07-2022 17:42,5.02,6.7,12.01,4,7692,25.9,2864
18-07-2022 17:47,5.58,6.7,12.01,1.6,7692,25.91,4079
18-07-2022 17:52,6.14,6.7,12.01,0.8,7813,25.92,3752
18-07-2022 17:57,6.7,6.7,12.01,2.4,7937,25.92,2967
18-07-2022 18:02,0.55,6.7,18.71,3.2,7692,25.93,2568
18-07-2022 18:07,1.11,6.7,18.71,1.6,7813,25.94,2869
18-07-2022 18:12,1.67,6.7,18.71,0.8,7813,25.95,2228
18-07-2022 18:17,2.23,6.7,18.71,1.6,7692,25.96,2116
18-07-2022 18:22,2.79,6.7,18.71,3.2,7692,25.97,1795
18-07-2022 18:27,3.35,6.7,18.71,4,7813,25.98,1460
18-07-2022 18:32,3.91,6.7,18.71,2.4,7692,25.98,1245
18-07-2022 18:37,4.47,6.7,18.71,3.2,7937,25.98,1022
18-07-2022 18:42,5.02,6.7,18.71,3.2,7813,25.99,806
18-07-2022 18:47,5.58,6.7,18.71,1.6,7813,26,561
18-07-2022 18:52,6.14,6.7,18.71,1.6,7813,26,365
18-07-2022 18:57,6.7,6.7,18.71,6.4,7937,26.01,209
18-07-2022 19:02,0.55,6.7,25.42,1.6,7813,26.02,116
18-07-2022 19:07,1.11,6.7,25.42,1.6,7813,26.02,58
18-07-2022 19:12,1.67,6.7,25.42,0.8,7813,26.03,24
18-07-2022 19:17,2.23,6.7,25.42,0.8,7937,26.03,8
18-07-2022 19:22,2.79,6.7,25.42,5.6,7692,26.04,3
18-07-2022 19:27,3.35,6.7,25.42,3.2,7937,26.05,1
18-07-2022 19:32,3.91,6.7,25.42,0.8,7937,26.05,1
18-07-2022 19:37,4.47,6.7,25.42,3.2,7813,26.05,1
18-07-2022 19:42,5.02,6.7,25.42,0.8,7813,26.05,1
18-07-2022 19:47,5.58,6.7,25.42,2.4,7813,26.05,1
18-07-2022 19:52,6.14,6.7,25.42,4.8,7937,26.06,1
18-07-2022 19:57,6.7,6.7,25.42,3.2,7813,26.06,1
18-07-2022 20:02,0.55,6.7,32.13,3.2,7937,26.06,1
18-07-2022 20:07,1.11,6.7,32.13,2.4,7813,26.07,1
18-07-2022 20:12,1.67,6.7,32.13,3.2,7813,26.07,1
18-07-2022 20:17,2.23,6.7,32.13,1.6,7937,26.07,1
18-07-2022 20:22,2.79,6.7,32.13,0,7813,26.07,1
18-07-2022 20:27,3.35,6.7,32.13,4,7937,26.08,1
18-07-2022 20:32,3.91,6.7,32.13,0.8,7813,26.08,1
18-07-2022 20:37,4.47,6.7,32.13,3.2,7937,26.08,1
18-07-2022 20:42,5.02,6.7,32.13,1.6,7937,26.08,1
18-07-2022 20:47,5.58,6.7,32.13,0,7937,26.08,1
18-07-2022 20:52,6.14,6.7,32.13,1.6,7813,26.08,1
18-07-2022 20:57,6.7,6.7,32.13,0,7692,26.08,1
18-07-2022 21:02,0.55,6.7,38.83,2.4,7813,26.08,1
18-07-2022 21:07,1.11,6.7,38.83,2.4,7937,26.08,1
18-07-2022 21:12,1.67,6.7,38.83,0.8,7937,26.08,1
18-07-2022 21:17,2.23,6.7,38.83,1.6,7937,26.08,1
18-07-2022 21:22,2.79,6.7,38.83,4.8,7692,26.08,1
18-07-2022 21:27,3.35,6.7,38.83,0.8,7692,26.07,1
18-07-2022 21:32,3.91,6.7,38.83,2.4,7813,26.07,1
18-07-2022 21:37,4.47,6.7,38.83,0.8,7937,26.07,1
18-07-2022 21:42,5.02,6.7,38.83,2.4,7937,26.07,1
18-07-2022 21:47,5.58,6.7,38.83,0.8,7937,26.06,1
18-07-2022 21:52,6.14,6.7,38.83,0.8,7813,26.06,1
18-07-2022 21:57,6.7,6.7,38.83,0.8,7937,26.06,1
18-07-2022 22:02,0.55,6.7,45.54,1.6,7937,26.06,1
18-07-2022 22:07,1.11,6.7,45.54,0,7937,26.06,1
18-07-2022 22:12,1.67,6.7,45.54,1.6,7937,26.05,1
18-07-2022 22:17,2.23,6.7,45.54,0,7937,26.05,1
18-07-2022 22:22,2.79,6.7,45.54,1.6,7937,26.05,1
18-07-2022 22:27,3.35,6.7,45.54,1.6,7937,26.05,1
18-07-2022 22:32,3.91,6.7,45.54,1.6,7813,26.04,1
18-07-2022 22:38,4.47,6.7,45.54,2.4,7813,26.04,1
18-07-2022 22:43,5.02,6.7,45.54,1.6,7813,26.03,1
18-07-2022 22:48,5.58,6.7,45.54,1.6,7813,26.03,1
18-07-2022 22:53,6.14,6.7,45.54,0.8,7813,26.02,1
18-07-2022 22:58,6.7,6.7,45.54,1.6,7813,26.02,1
18-07-2022 23:04,0.55,6.7,52.24,0,7813,26.01,1
18-07-2022 23:08,1.11,6.7,52.24,0,7813,26.01,1
18-07-2022 23:13,1.67,6.7,52.24,2.4,7937,26,1
18-07-2022 23:18,2.23,6.7,52.24,3.2,7937,26,1
18-07-2022 23:23,2.79,6.7,52.24,1.6,7937,25.99,1
18-07-2022 23:28,3.35,6.7,52.24,2.4,7813,25.99,1
18-07-2022 23:33,3.91,6.7,52.24,1.6,7937,25.98,1
18-07-2022 23:38,4.47,6.7,52.24,2.4,7937,25.98,1
18-07-2022 23:43,5.02,6.7,52.24,0.8,7937,25.98,1
18-07-2022 23:48,5.58,6.7,52.24,0,7813,25.98,1
18-07-2022 23:53,6.14,6.7,52.24,1.6,7937,25.97,1
18-07-2022 23:58,6.7,6.7,52.24,2.4,7937,25.96,1
19-07-2022 00:03,0.55,6.7,58.95,0.8,7937,25.96,1
19-07-2022 00:08,1.11,6.7,58.95,1.6,7937,25.95,1
19-07-2022 00:13,1.67,6.7,58.95,0.8,7813,25.94,1
19-07-2022 00:18,2.23,6.7,58.95,0.8,7937,25.94,1
19-07-2022 00:23,2.79,6.7,58.95,4,7813,25.93,1
19-07-2022 00:28,3.35,6.7,58.95,0.8,7937,25.93,1
19-07-2022 00:33,3.91,6.7,58.95,1.6,7937,25.92,1
19-07-2022 00:38,4.47,6.7,58.95,0,7937,25.92,1
19-07-2022 00:44,5.02,6.7,58.95,0.8,7937,25.92,1
19-07-2022 00:49,5.58,6.7,58.95,2.4,7937,25.91,1
19-07-2022 00:54,6.14,6.7,58.95,0.8,7937,25.9,1
19-07-2022 00:59,6.7,6.7,58.95,0,7692,25.9,1
19-07-2022 01:04,0.55,6.7,65.65,0.8,7813,25.89,1
19-07-2022 01:09,1.11,6.7,65.65,0.8,7813,25.88,1
19-07-2022 01:13,1.67,6.7,65.65,1.6,7937,25.88,1
19-07-2022 01:19,2.23,6.7,65.65,1.6,7813,25.87,1
19-07-2022 01:24,2.79,6.7,65.65,1.6,7813,25.87,1
19-07-2022 01:29,3.35,6.7,65.65,2.4,7937,25.86,1
19-07-2022 01:34,3.91,6.7,65.65,0.8,7813,25.86,1
19-07-2022 01:39,4.47,6.7,65.65,0,7813,25.85,1
19-07-2022 01:44,5.02,6.7,65.65,2.4,7937,25.85,1
19-07-2022 01:49,5.58,6.7,65.65,0,7813,25.84,1
19-07-2022 01:54,6.14,6.7,65.65,0,7813,25.83,1
19-07-2022 01:59,6.7,6.7,65.65,0,7692,25.83,1
19-07-2022 02:04,0.55,6.7,72.36,3.2,7813,25.82,1
19-07-2022 02:09,1.11,6.7,72.36,3.2,7813,25.81,1
19-07-2022 02:14,1.67,6.7,72.36,2.4,7813,25.81,1
19-07-2022 02:19,2.23,6.7,72.36,3.2,7937,25.8,1
19-07-2022 02:24,2.79,6.7,72.36,2.4,7937,25.8,1
19-07-2022 02:29,3.35,6.7,72.36,3.2,7937,25.79,1
19-07-2022 02:34,3.91,6.7,72.36,2.4,7937,25.79,1
19-07-2022 02:39,4.47,6.7,72.36,2.4,7937,25.78,1
19-07-2022 02:44,5.02,6.7,72.36,3.2,7813,25.78,1
19-07-2022 02:49,5.58,6.7,72.36,4,7937,25.77,1
19-07-2022 02:54,6.14,6.7,72.36,2.4,7937,25.76,1
19-07-2022 02:59,6.7,6.7,72.36,0,7813,25.76,1
19-07-2022 03:04,0.55,6.7,79.07,0.8,7813,25.75,1
19-07-2022 03:09,1.11,6.7,79.07,0,7937,25.74,1
19-07-2022 03:14,1.67,6.7,79.07,3.2,7937,25.73,1
19-07-2022 03:19,2.23,6.7,79.07,0,7813,25.73,1
19-07-2022 03:24,2.79,6.7,79.07,0,7937,25.73,1
19-07-2022 03:29,3.35,6.7,79.07,1.6,7937,25.73,1
19-07-2022 03:34,3.91,6.7,79.07,0,7937,25.72,1
19-07-2022 03:39,4.47,6.7,79.07,0.8,7813,25.71,1
19-07-2022 03:44,5.02,6.7,79.07,0.8,7813,25.7,1
19-07-2022 03:49,5.58,6.7,79.07,0.8,7813,25.7,1
19-07-2022 03:54,6.14,6.7,79.07,1.6,7813,25.69,1
19-07-2022 03:59,6.7,6.7,79.07,0,7813,25.69,1
19-07-2022 04:04,0.55,6.7,85.77,2.4,7813,25.68,1
19-07-2022 04:09,1.11,6.7,85.77,4,7937,25.67,1
19-07-2022 04:14,1.67,6.7,85.77,1.6,7692,25.67,1
19-07-2022 04:19,2.23,6.7,85.77,0.8,7813,25.67,1
19-07-2022 04:24,2.79,6.7,85.77,2.4,7813,25.66,1
19-07-2022 04:29,3.35,6.7,85.77,0,7813,25.66,1
19-07-2022 04:34,3.91,6.7,85.77,4,7813,25.65,1
19-07-2022 04:39,4.47,6.7,85.77,2.4,7813,25.64,1
19-07-2022 04:44,5.02,6.7,85.77,1.6,7813,25.64,1
19-07-2022 04:49,5.58,6.7,85.77,2.4,7813,25.63,1
19-07-2022 04:54,6.14,6.7,85.77,2.4,7813,25.62,1
19-07-2022 04:59,6.7,6.7,85.77,3.2,7813,25.62,1
19-07-2022 05:04,0.55,6.7,92.48,1.6,7692,25.61,1
19-07-2022 05:09,1.11,6.7,92.48,4,7692,25.61,1
19-07-2022 05:14,1.67,6.7,92.48,6.4,7813,25.61,1
19-07-2022 05:19,2.23,6.7,92.48,0.8,7937,25.6,1
19-07-2022 05:24,2.79,6.7,92.48,2.4,7813,25.6,1
19-07-2022 05:29,3.35,6.7,92.48,3.2,7692,25.59,1
19-07-2022 05:34,3.91,6.7,92.48,2.4,7813,25.58,1
19-07-2022 05:39,4.47,6.7,92.48,0,7813,25.58,2
19-07-2022 05:44,5.02,6.7,92.48,0,7937,25.57,3
19-07-2022 05:49,5.58,6.7,92.48,0,7937,25.56,4
19-07-2022 05:54,6.14,6.7,92.48,1.6,7813,25.56,10
